Artikelnummer (AR+[ID])	Artikelnummer Systemfremd	Artikelgruppe	Artikelname Vermietung	Artikelkurzbeschreibung Vermietung	Vermietpreis Min	Vermietpreis Soll	Vermietpreis UVP	Artikelname Verkauf	Artikelkurzbeschreibung Verkauf	Herstellerfirma	Verkaufpreis Min	Verkaufpreis Soll	Verkaufpreis UVP	ArtikelSeriennummer	Equipments	Eigene Equipments	Anzahl fremde Equipments	In Werkstatt	Equipments verkauft	EK netto	Anmietpreis	H?he [mm]	Breite [mm]	L?nge [mm]	Gewicht [kg]	Anschlussleistung [W]	
AR778	 - 	Lichteffekte kopfbewegt	Martin Mac Quantum Profile (5pol DMX)	Martin Mac Quantum Profile (5pol DMX)	60	75	80	Martin Mac Quantum Profile (5pol DMX)	Martin Mac Quantum Profile (5pol DMX)	NULL	 - 	 - 	 - 	 - 	12	0	12	0	0	 - 	 - 	642	431	452	23.500	0
AR805	 - 	Lichteffekte kopfbewegt	JB Lighting P12 Profile HighPower	JB Lighting P12 Profile HighPower Adapterleitung Schukostecker auf Powercon True 1,8m 1xBRACKET JBStück Omega Bracket mit QuicktriggerClamp für JB Lighting 1xSAFETY MACStück Fangseil 5mm/100cm mit zwei unverlierbaren Kettenschnellverbindern 	 - 	80	 - 	JB Lighting P12 Profile HighPower	JB Lighting P12 Profile HighPower	NULL	 - 	 - 	 - 	 - 	11	11	0	0	0	 - 	 - 	 - 	 - 	 - 	23.000	0
AR806	 - 	Lichteffekte kopfbewegt	Martin Mac Aura XIP (5pol DMX) 	Martin Mac Aura XIP (5pol DMX) 1x SCHUKO AD TRUECONStück Adapterleitung Schukostecker auf Powercon True 1,8m 1x SAFETY MACStück Fangseil 5mm/100cm mit zwei unverlierbaren Kettenschnellverbindern 1x BRACKET MACStück Omega Bracket mit QuicktriggerClamp für Mac Quantum, Encore, ... 	 - 	70	 - 	Martin Mac Aura XIP (5pol DMX)	Martin Mac Aura XIP (5pol DMX) 1x SCHUKO AD TRUECONStück Adapterleitung Schukostecker auf Powercon True 1,8m 1x SAFETY MACStück Fangseil 5mm/100cm mit zwei unverlierbaren Kettenschnellverbindern 1x BRACKET MACStück Omega Bracket mit QuicktriggerClamp für Mac Quantum, Encore, ... 	NULL	 - 	 - 	 - 	 - 	25	25	0	0	0	 - 	 - 	338	380	226	8.950	0
AR826	 - 	Lichteffekte kopfbewegt	JB Lighting Sparx 12 Wash 5pol DMX	Adapterleitung Schukostecker auf Powercon True 1,8m  8 BRACKET JBStück Omega Bracket mit QuicktriggerClamp für JB Lighting 4 SAFETY MACStück Fangseil 5mm/100cm mit zwei unverlierbaren Kettenschnellverbindern 1 CASE 4SPARX12Stück Transportcase für vier JB Lighting Sparx 12	 - 	65	 - 	JB Lighting Sparx 12 Wash (5pol DMX	Adapterleitung Schukostecker auf Powercon True 1,8m  8 BRACKET JBStück Omega Bracket mit QuicktriggerClamp für JB Lighting 4 SAFETY MACStück Fangseil 5mm/100cm mit zwei unverlierbaren Kettenschnellverbindern 1 CASE 4SPARX12Stück Transportcase für vier JB Lighting Sparx 12	NULL	 - 	 - 	 - 	46.5	21	21	0	0	0	0.0	46.5	491	404	265	15.500	0
AR842	 - 	Lichteffekte kopfbewegt	JB Lighting P12 Profile HighPower Spare	JB Lighting P12 Profile HighPower Adapterleitung Schukostecker auf Powercon True 1,8m 1xBRACKET JBStück Omega Bracket mit QuicktriggerClamp für JB Lighting 1xSAFETY MACStück Fangseil 5mm/100cm mit zwei unverlierbaren Kettenschnellverbindern 	 - 	70.00	 - 	JB Lighting P12 Profile HighPower	JB Lighting P12 Profile HighPower	NULL	 - 	 - 	 - 	 - 	2	2	0	0	0	 - 	 - 	 - 	 - 	 - 	23.000	0
AR843	 - 	Lichteffekte kopfbewegt	Martin Mac Aura XIP (5pol DMX)  Spare	Martin Mac Aura XIP (5pol DMX) 1x SCHUKO AD TRUECONStück Adapterleitung Schukostecker auf Powercon True 1,8m 1x SAFETY MACStück Fangseil 5mm/100cm mit zwei unverlierbaren Kettenschnellverbindern 1x BRACKET MACStück Omega Bracket mit QuicktriggerClamp für Mac Quantum, Encore, ... 	 - 	70	 - 	Martin Mac Aura XIP (5pol DMX)	Martin Mac Aura XIP (5pol DMX) 1x SCHUKO AD TRUECONStück Adapterleitung Schukostecker auf Powercon True 1,8m 1x SAFETY MACStück Fangseil 5mm/100cm mit zwei unverlierbaren Kettenschnellverbindern 1x BRACKET MACStück Omega Bracket mit QuicktriggerClamp für Mac Quantum, Encore, ... 	NULL	 - 	 - 	 - 	 - 	2	2	0	0	0	 - 	 - 	338	380	226	8.950	0
AR854	 - 	Lichteffekte kopfbewegt	JB Lighting P9 BeamSpot HighPower	330 W LED-Modul Farbtemperatur: 6800 K Lichtstrom: max. 25.000 lm Zoom: 3,4°- 54° Lichtaustrittslinse: Ø 135 mm	 - 	70.00	 - 	JB Lighting P9 BeamSpot HighPower	330 W LED-Modul Farbtemperatur: 6800 K Lichtstrom: max. 25.000 lm Zoom: 3,4°- 54° Lichtaustrittslinse: Ø 135 mm	NULL	 - 	 - 	 - 	52	12	12	0	0	0	0.0	52	609	398	264	17.000	0
AR855	 - 	Lichteffekte kopfbewegt	JB Lighting P9 BeamSpot HighPower Spare	330 W LED-Modul Farbtemperatur: 6800 K Lichtstrom: max. 25.000 lm Zoom: 3,4°- 54° Lichtaustrittslinse: Ø 135 mm	 - 	70.00	 - 	JB Lighting P9 BeamSpot HighPower	330 W LED-Modul Farbtemperatur: 6800 K Lichtstrom: max. 25.000 lm Zoom: 3,4°- 54° Lichtaustrittslinse: Ø 135 mm	NULL	 - 	 - 	 - 	 - 	2	2	0	0	0	55	 - 	609	398	264	17.000	0
AR866	 - 	Lichteffekte kopfbewegt	JB Lighting Sparx 12 Wash 5pol DMX Spare	Adapterleitung Schukostecker auf Powercon True 1,8m  8 BRACKET JBStück Omega Bracket mit QuicktriggerClamp für JB Lighting 4 SAFETY MACStück Fangseil 5mm/100cm mit zwei unverlierbaren Kettenschnellverbindern 1 CASE 4SPARX12Stück Transportcase für vier JB Lighting Sparx 12	0.0	50	0.0	JB Lighting Sparx 12 Wash (5pol DMX	Adapterleitung Schukostecker auf Powercon True 1,8m  8 BRACKET JBStück Omega Bracket mit QuicktriggerClamp für JB Lighting 4 SAFETY MACStück Fangseil 5mm/100cm mit zwei unverlierbaren Kettenschnellverbindern 1 CASE 4SPARX12Stück Transportcase für vier JB Lighting Sparx 12	NULL	0.0	0.0	0.0	 - 	6	6	0	0	0	0.0	 - 	491	404	265	15.500	0
AR895	 - 	Lichteffekte kopfbewegt	Light	14 P9 BEAMSPOTStück JB Lighting P9 BeamSpot HighPower 2 P9 BEAMSPOT -VPE/spare- Stück JB Lighting P9 BeamSpot HighPower 14 SCHUKO AD TRUECONStück Adapterleitung Schukostecker auf Powercon True 1,8m 28 BRACKET JBStück Omega Bracket mit QuicktriggerClamp für JB Lighting 14 SAFETY MACStück Fangseil 5mm/100cm mit zwei unverlierbaren Kettenschnellverbindern 4 CASE 4P9Stück Transportcase für vier JB Lighting P9 12 ROGUE R1BWStück Chauvet PRO Rogue R1 BeamWash (DMX 5pol) 12 SAFETY MACStück Fangseil 5mm/100cm mit zwei unverlierbaren Kettenschnellverbindern 12 BRACKET R1BWStück Omega Bracket mit TriggerClamp für Chauvet R1BW 12 SCHUKO AD PWCONStück Adapterleitung Schukostecker auf Powercon ca.2m 2 CASE 6R1BWStück Transportcase für sechs Chauvet R1BW 1 LC MA2 LIGHTStück Lichtstellpult MA Lighting grandMA2 light 2 PULTLEUCHTE MAStück LED Schwanenhalslampe GrandMA 1 SCHUKO AD PWCONStück Adapterleitung Schukostecker auf Powercon ca.2m	0.0	1690	0.0	Light	14 P9 BEAMSPOTStück JB Lighting P9 BeamSpot HighPower 2 P9 BEAMSPOT -VPE/spare- Stück JB Lighting P9 BeamSpot HighPower 14 SCHUKO AD TRUECONStück Adapterleitung Schukostecker auf Powercon True 1,8m 28 BRACKET JBStück Omega Bracket mit QuicktriggerClamp für JB Lighting 14 SAFETY MACStück Fangseil 5mm/100cm mit zwei unverlierbaren Kettenschnellverbindern 4 CASE 4P9Stück Transportcase für vier JB Lighting P9 12 ROGUE R1BWStück Chauvet PRO Rogue R1 BeamWash (DMX 5pol) 12 SAFETY MACStück Fangseil 5mm/100cm mit zwei unverlierbaren Kettenschnellverbindern 12 BRACKET R1BWStück Omega Bracket mit TriggerClamp für Chauvet R1BW 12 SCHUKO AD PWCONStück Adapterleitung Schukostecker auf Powercon ca.2m 2 CASE 6R1BWStück Transportcase für sechs Chauvet R1BW 1 LC MA2 LIGHTStück Lichtstellpult MA Lighting grandMA2 light 2 PULTLEUCHTE MAStück LED Schwanenhalslampe GrandMA 1 SCHUKO AD PWCONStück Adapterleitung Schukostecker auf Powercon ca.2m	NULL	0.0	0.0	0.0	1388	1	0	1	0	0	0.0	1388	0.0	0.0	0.0	0.000	0
AR16	 - 	Lichteffekte statisch	ETC S4 LED SER2 LUSTR CE 	ETC S4 LED SER2 LUSTR CE ENGINE W. SHUTTER BARREL, BLACK	80	90	100	ETC S4 LED SER2 LUSTR CE 	ETC S4 LED SER2 LUSTR CE ENGINE W. SHUTTER BARREL, BLACK	NULL	2380	2400	2500	 - 	30	30	0	0	30	1946,50	 - 	 - 	 - 	 - 	0.000	0
AR17	 - 	Lichteffekte statisch	Lustr Classic 21	2.5W Luxeon Rebel LED based Fixture Two cell Unit, 533mm Wide	100	110	130	Lustr Classic 21	2.5W Luxeon Rebel LED based Fixture Two cell Unit, 533mm Wide	NULL	3100	3200	3500	 - 	30	30	0	0	30	2358	 - 	 - 	 - 	 - 	0.000	0
AR18	 - 	Lichteffekte statisch	Lustr Classic LED Scheinwerfer	Lustr Classic 11 LED Scheinwerfer, 11”	50	60	70	Lustr Classic LED Scheinwerfer	Lustr Classic 11 LED Scheinwerfer, 11”	NULL	1900	2100	2200	 - 	30	30	0	0	30	1324	 - 	 - 	 - 	 - 	0.000	0
AR19	 - 	Lichteffekte statisch	ETC S4 LED SER2 LUSTR CE ENGINE W.	SHUTTER BARREL, BLACK incl. Soft Focus Diffuser in holder and 1,0 m Powercable	70	90	100	ETC S4 LED SER2 LUSTR CE ENGINE W.	SHUTTER BARREL, BLACK incl. Soft Focus Diffuser in holder and 1,0 m Powercable	NULL	2650	2700	2900	 - 	30	30	0	0	0	1946	 - 	 - 	 - 	 - 	0.000	0
AR38	 - 	Lichteffekte statisch	Martin Atomic 3000 Stroboskop	Stroboskop mit 3000W Leistung 	40	50	60	Martin Atomic 3000 Stroboskop	Stroboskop mit 3000W Leistung 	NULL	 - 	 - 	 - 	 - 	24	24	0	0	0	 - 	 - 	240	245	425	8.000	3000
AR93	 - 	Lichteffekte statisch	EUROLITE LED KLS Laser Bar PRO FX-Lichtset	 Showlaser-Lichteffektleiste für mobilen Einsatz, Laserklasse 2M	25	35	45	EUROLITE LED KLS Laser Bar PRO FX-Lichtset	Showlaser-Lichteffektleiste für mobilen Einsatz, Laserklasse 2M	NULL	 - 	 - 	 - 	 - 	2	2	0	0	0	 - 	 - 	320	145	1320	7.000	0
AR121	 - 	Lichteffekte statisch	ADJ UB 9H	ADJ UB 9H Led Barleiste	10	15	20	ADJ UB 9H	41.75-inch (1 meter) indoor Linear Bar with 9 x 6W Ultra bright RGBWA+UV HEX (6-in-1) LEDs ADJ UB 9H • Variable RGBWA+UV color mixing offers a seemingly unlimited color palette - Great for Stage or Wall Washing!  • 6 DMX Channel Modes: 2, 3, 4, 6, 7 or 11 channels	ADJ Supply Europe B.V.	145	149	169	 - 	28	28	0	0	0	88	 - 	63	90	1060	2.500	0
AR152	 - 	Lichteffekte statisch	EUROLITE LED KLS Laser Bar PRO FX-Lichtset	 Showlaser-Lichteffektleiste für mobilen Einsatz, Laserklasse 2M	25	35	45	EUROLITE LED KLS Laser Bar PRO FX-Lichtset	Showlaser-Lichteffektleiste für mobilen Einsatz, Laserklasse 2M	NULL	 - 	399	 - 	 - 	2	2	0	0	0	299	 - 	320	145	1320	7.000	0
AR207	 - 	Lichteffekte statisch	Showtec Stage Blinder 4 DMX	Showtec Stage Blinder 4 DMX Gehäuse: Schwarz Versorgungsspannung: 240V/50Hz Power: 1300W Lampe: 4x Par 36 120V/650W (DWE) Steuerung: DMX	20	25	30	Showtec Stage Blinder 4 DMX	Showtec Stage Blinder 4 DMX	Showtec	 - 	 - 	 - 	 - 	12	12	0	0	0	 - 	 - 	470	110	425	6.900	1300
AR233	 - 	Lichteffekte statisch	ADJ COB Cannon Wash	ADJ COB Cannon Wash	 - 	10	 - 	ADJ COB Cannon Wash	ADJ COB Cannon Wash	NULL	 - 	200	 - 	 - 	8	0	8	0	0	149	 - 	 - 	 - 	 - 	0.000	0
AR300	 - 	Lichteffekte statisch	ETC S4 Zoomprofilscheinwerfer "jr", 25 bis 50Â°,	ETC S4 Zoomprofilscheinwerfer "jr", 25 bis 50°, 575W 	 - 	 - 	 - 	ETC S4 Zoomprofilscheinwerfer "jr", 25 bis 50Â°	ETC S4 Zoomprofilscheinwerfer "jr", 25 bis 50°, 575W 	NULL	 - 	 - 	 - 	 - 	2	2	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR306	 - 	Lichteffekte statisch	Elation Sixbar 1000 RGBAW+UV (DMX3p/5p/ArtNet)	Elation Sixbar 1000 RGBAW+UV (DMX3p/5p/ArtNet) Elation Sixbar 1000 Frostfilter SHIELDStück Elation Sixbar 1000 Blende SCHUKO AD PWCONStück Adapterleitung Schukostecker auf Powercon ca.2m TV ZAPF 16/M10 AUSSEN (TOUR,SIXBAR,LX11) TV-Zapfen 16mm mit M10 Gewindebolzen CLAMP MA 035Stück Manfrotto Superclamp MA035 für 16mm TV-Zapfen, max. 15kg SAFETY MACStück Fangseil 5mm/100cm mit zwei unverlierbaren Kettenschnellverbindern DMX MC1 PP 01,5Stück DMX Multicore 1,5m, einkanalig, Powercon in/out , XLR 5pol 1 DMX MC1 PP 02,5Stück DMX Multicore 2,5m, einkanalig, Powercon in/out , XLR 5pol 1 DMX MC1 PP 05Stück DMX Multicore 5,0m, einkanalig, Powercon in/out , XLR 5pol        	 - 	60	 - 	Elation Sixbar 1000 RGBAW+UV (DMX3p/5p/ArtNet)	Elation Sixbar 1000 RGBAW+UV (DMX3p/5p/ArtNet)	NULL	 - 	 - 	 - 	 - 	24	24	0	0	0	0.0	 - 	105	206	900	6.200	0
AR343	 - 	Lichteffekte statisch	EUROLITE LED Super Strobe ABL	EUROLITE LED Super Strobe ABL 216 leistungsstarke LEDs 0,5 W SMD 5730 kaltweiß (CW) 144 leistungsstarke LEDs SMD 5050 3in1 TCL RGB (homogene Farbmischung) LEDs einzeln ansteuerbar Stroboskop-Effekt; Wash-Effekt; Blinder-Effekt 17 integrierte Showprogramme	 - 	15	 - 	EUROLITE LED Super Strobe ABL	EUROLITE LED Super Strobe ABL 216 leistungsstarke LEDs 0,5 W SMD 5730 kaltweiß (CW) 144 leistungsstarke LEDs SMD 5050 3in1 TCL RGB (homogene Farbmischung) LEDs einzeln ansteuerbar Stroboskop-Effekt; Wash-Effekt; Blinder-Effekt 17 integrierte Showprogramme	NULL	 - 	184	 - 	 - 	8	8	0	0	0	165	 - 	25	45	8	3.940	0
AR374	 - 	Lichteffekte statisch	Profilscheinwerfer 750W, ETC Source Four	Profilscheinwerfer 750W, ETC Source Four Irisblende für S4 Profiler Farbfilterrahmen für ETC Source Four Profilscheinwerfer Tubus 19° für ETC Source Four Profiler Tubus 26° für ETC Source Four Profiler Tubus 36° für ETC Source Four Profiler Tubus 50° für ETC Source Four Profiler Pipeclamp 48-50mm für 28mm TV-Zapfen, Typ Avenger C350 / LTHC350NBK	 - 	50	 - 	Profilscheinwerfer 750W, ETC Source Four	Profilscheinwerfer 750W, ETC Source Four Irisblende für S4 Profiler Farbfilterrahmen für ETC Source Four Profilscheinwerfer Tubus 19° für ETC Source Four Profiler Tubus 26° für ETC Source Four Profiler Tubus 36° für ETC Source Four Profiler Tubus 50° für ETC Source Four Profiler Pipeclamp 48-50mm für 28mm TV-Zapfen, Typ Avenger C350 / LTHC350NBK	NULL	 - 	 - 	 - 	 - 	32	0	32	0	0	 - 	 - 	600	340	340	7.600	0
AR412	 - 	Lichteffekte statisch	BEamZ Bac 404	BEamZ Bac 404	7,50	10	15	BEamZ Bac 404	BEamZ Bac 404	NULL	 - 	 - 	 - 	 - 	10	10	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR506	 - 	Lichteffekte statisch	Eurolite Spark Master Kaltes Feuerwerk	DMX-Funkeneffekt ohne Pyrotechnik für Indoor-Feuerwerke Erzeugt bis zu 5 Meter hohe Fontänen 	50	60.00	75	Kaltes Feuerwerk Spark Master	DMX-Funkeneffekt ohne Pyrotechnik für Indoor-Feuerwerke Erzeugt bis zu 5 Meter hohe Fontänen 	NULL	 - 	 - 	 - 	 - 	2	0	2	0	0	 - 	 - 	325	245	250	10.500	760
AR534	 - 	Lichteffekte statisch	ProLux Matrix Bar 6	ProLux Matrix Bar 6	 - 	 - 	 - 	ProLux Matrix Bar 6	ProLux Matrix Bar 6	NULL	 - 	 - 	 - 	 - 	17	17	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR573	 - 	Lichteffekte statisch	Sparcular Cold Flame Spraeyer	Sparcular Cold Flame Spraeyer	50	60	65	Sparcular Cold Flame Spraeyer	Sparcular Cold Flame Spraeyer	NULL	 - 	 - 	 - 	 - 	6	6	0	0	0	 - 	 - 	30	20	20	4.000	0
AR575	 - 	Lichteffekte statisch	ADJ Encore FR150Z	ADJ Encore FR150Z	25	35	45	ADJ Encore FR150Z	ADJ Encore FR150Z	ADJ Supply Europe B.V.	 - 	 - 	 - 	 - 	2	2	0	0	0	 - 	 - 	416	298	422	7.200	0
AR674	 - 	Lichteffekte statisch	Stage Blinder 2x 100W LED 2in1  	Stage Blinder 2x 100W LED 2in1  	12	15	20	Stage Blinder 2x 100W LED 2in1  	Stage Blinder 2x 50W LED 2in1	NULL	 - 	 - 	 - 	 - 	6	6	0	0	0	 - 	 - 	240	370	150	3.420	0
AR676	 - 	Lichteffekte statisch	Led Strobe mit 936 hellen SMD-5050-LEDs und DMX	Led Strobe mit 936 hellen SMD-5050-LEDs und DMX	 - 	 - 	 - 	Led Strobe mit 936 hellen SMD-5050-LEDs und DMX	Led Strobe mit 936 hellen SMD-5050-LEDs und DMX	NULL	 - 	 - 	 - 	 - 	14	14	0	0	0	 - 	 - 	130	260	500	5.850	0
AR686	 - 	Lichteffekte statisch	BBB612 Battery Bar 6x 12W RGBAW-UV LEDs	BBB612 Battery Bar 6x 12W RGBAW-UV LEDs Bis zu 20 Stunden Betriebszeit (abhängig von der Intensität) Schnellladezeit von nur 5 Stunden LED-Batteriestatusanzeige DMX und stand-alone modus 2, 6, 8, 11, 36 oder 38 DMX Kanäle	15	30	25	BBB612 Battery Bar 6x 12W RGBAW-UV LEDs	BBB612 Battery Bar 6x 12W RGBAW-UV LEDs Bis zu 20 Stunden Betriebszeit (abhängig von der Intensität) Schnellladezeit von nur 5 Stunden LED-Batteriestatusanzeige DMX und stand-alone modus 2, 6, 8, 11, 36 oder 38 DMX Kanäle	NULL	 - 	251.5	 - 	 - 	14	14	0	0	0	200	 - 	160	80	330	3.300	0
AR700	 - 	Lichteffekte statisch	Niethammer Verfolger Unispot HZU 208 Kunstlicht 2k	Niethammer Verfolger Unispot HZU 208 Kunstlicht 2kW, 6-17	 - 	179	 - 	Niethammer Verfolger Unispot HZU 208 Kunstlicht 2k	Niethammer Verfolger Unispot HZU 208 Kunstlicht 2kW, 6-17	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	210.00	 - 	 - 	 - 	 - 	0.000	0
AR701	 - 	Lichteffekte statisch	Astera PixelBar AX2 100cm*	Astera PixelBar AX2 100cm Akku-LED-Scheinwerfer 16 A LED AX TH (AX2)Stück Astera TrackHanger AX-TH A LED AX2 FBStück Astera FlyBar AX2-FB A LED AX TP (AX2)Stück Astera TrackPin AX-TP SAFETY MACStück Fangseil 5mm/100cm mit zwei unverlierbaren Kettenschnellverbindern CLAMP MA 035Stück Manfrotto Superclamp MA035 für 16mm TV-Zapfen, max. 15kg 2 A LED REMOTEStück Astera Infrarotfernbedienung ARC1 8 SCHUKO AD TRUECONStück Adapterleitung Schukostecker auf Powercon True 1,8m 8 DMX MC1 TT 00,5 (AX2)Stück DMX Multicore 0,5m, einkanalig, PowerconTrue1 m/f , XLR 5pol 2 TRUECON X4 (AX2)Stück Astera Powercon True Ladeadapter vierfach 2 CASE 4AX2-100Stück Transportkiste für 4x Astera AX2-100	 - 	55	 - 	Astera PixelBar AX2 100cm	Astera PixelBar AX2 100cm Akku-LED-Scheinwerfer	NULL	 - 	 - 	 - 	28	18	18	0	0	0	0.0	28	 - 	 - 	 - 	0.000	0
AR703	 - 	Lichteffekte statisch	Chauvet Color Strike M moving	COLOR STRIKE Chauvet Color Strike M moving Strobe & Wash 1 SCHUKO AD TRUECONStück Adapterleitung Schukostecker auf Powercon True 1,8m 1 BRACKET CSTRIKEStück Omega Bracket mit TriggerClamp für Chauvet ColorStrike 1 SAFETY MACStück Fangseil 5mm/100cm mit zwei unverlierbaren Kettenschnellverbindern 	75	85	100	COLOR STRIKEStÃ¼ck Chauvet Color Strike M moving	COLOR STRIKE Chauvet Color Strike M moving Strobe & Wash 1 SCHUKO AD TRUECONStück Adapterleitung Schukostecker auf Powercon True 1,8m 1 BRACKET CSTRIKEStück Omega Bracket mit TriggerClamp für Chauvet ColorStrike 1 SAFETY MACStück Fangseil 5mm/100cm mit zwei unverlierbaren Kettenschnellverbindern 	NULL	 - 	 - 	 - 	 - 	18	14	4	0	0	50	 - 	407	175	312	12.100	0
AR704	 - 	Lichteffekte statisch	CLAY PAKY TAMBORA BATTEN	LED MOTORISED TAMBORA BATTEN SQUARE CLAY PAKY	 - 	106	 - 	CLAY PAKY TAMBORA BATTEN	LED MOTORISED TAMBORA BATTEN SQUARE CLAY PAKY	NULL	 - 	 - 	 - 	 - 	8	0	8	0	0	95	 - 	 - 	 - 	 - 	0.000	0
AR709	 - 	Lichteffekte statisch	Astera TitanTube FP1 100cm Akku-LED-Leuchtstab	Astera TitanTube FP1 100cm Akku-LED-Leuchtstab	 - 	50	 - 	Astera TitanTube FP1 100cm Akku-LED-Leuchtstab	Astera TitanTube FP1 100cm Akku-LED-Leuchtstab	NULL	 - 	 - 	 - 	 - 	16	0	16	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR710	 - 	Lichteffekte statisch	Astera PowerBox	Astera PowerBox	 - 	50	 - 	Astera PowerBox	Astera PowerBox	NULL	 - 	 - 	 - 	 - 	2	0	2	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR711	 - 	Lichteffekte statisch	Astera Lightdrop AX3 Akku-LED-Scheinwerfer	Astera Lightdrop AX3 Akku-LED-Scheinwerfer	 - 	50	 - 	Astera Lightdrop AX3 Akku-LED-Scheinwerfer	Astera Lightdrop AX3 Akku-LED-Scheinwerfer	NULL	 - 	 - 	 - 	 - 	16	16	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR712	 - 	Lichteffekte statisch	SGM P6 LED Washlight, RGBW, W-DMX, IP65, 10Â° (5pol	SGM P6 LED Washlight, RGBW, W-DMX, IP65, 10° (5pol DMX	 - 	52	 - 	SGM P6 LED Washlight, RGBW, W-DMX, IP65, 10Â° (5pol	SGM P6 LED Washlight, RGBW, W-DMX, IP65, 10° (5pol DMX	NULL	 - 	 - 	 - 	35	24	12	12	0	0	0.0	35	320	320	166	14.500	0
AR761	 - 	Lichteffekte statisch	DJ Power R-5 Shot Base double Konfettimaschine	DJ Power R-5 Shot Base double Konfettimaschine	 - 	50,00	 - 	DJ Power R-5 Shot Base double Konfettimaschine	DJ Power R-5 Shot Base double Konfettimaschine      Strom IN: IEC     XLR IN/OUT: 3pol / 5pol     Fernbedienung: Ja     Frequenz der Fernbedienung: 315 MHz     DMX512: Ja     Effekt-Typ: Konfetti     Spannung: AC 220V-240V 50/60Hz     Sicherung: 2 A/250 V     Leistungsaufnahme Max.: 60 W     Maße (BxTxH): 315x219x211mm     Gewicht: 5,5kg 	NULL	 - 	 - 	 - 	 - 	2	0	2	0	0	 - 	 - 	211	315	219	5.500	0
AR789	 - 	Lichteffekte statisch	EUROLITE Theatre Spot 300/500 Fresnel sw	EUROLITE Theaterscheinwerfer für Halogenlampen mit 300 oder 500 Watt Leistung	 - 	 - 	 - 	EUROLITE Theatre Spot 300/500 Fresnel sw	EUROLITE Theaterscheinwerfer für Halogenlampen mit 300 oder 500 Watt Leistung	Steinigke Showtechnic GmbH	 - 	89,00	 - 	 - 	2	0	2	0	0	59,90	 - 	 - 	 - 	 - 	0.000	0
AR792	 - 	Lichteffekte statisch	Fresno SDO Theater 200 Zoom Spot/Followspot	Fresno SDO Theater 200 Zoom Spot/Followspot	17,50	20	25	Fresno SDO Theater 200 Zoom Spot/Followspot	Fresno SDO Theater 200 Zoom Spot/Followspot	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR794	 - 	Lichteffekte statisch	Elation Profile 300 FC KL	Elation KL Zoomprofilscheinwerfer 7°-50°, 300W RGBMA	 - 	70	 - 	Elation Profile 300 FC KL	Elation KL Zoomprofilscheinwerfer 7°-50°, 300W RGBMA	NULL	 - 	 - 	 - 	 - 	2	0	2	0	0	35	 - 	 - 	 - 	 - 	0.000	0
AR827	 - 	Lichteffekte statisch	GLP Impression X4 Bar 20	GLP Impression X4 Bar 20	 - 	60	 - 	GLP Impression X4 Bar 20	GLP Impression X4 Bar 20	NULL	 - 	 - 	 - 	 - 	8	0	8	0	0	 - 	 - 	240	100	1000	16.000	0
AR828	 - 	Lichteffekte statisch	Verfolger Robert Juliat Victor inkl. Stativ	Verfolger Robert Juliat Victor inkl. Stativ	 - 	80	 - 	Verfolger Robert Juliat Victor inkl. Stativ	Verfolger Robert Juliat Victor inkl. Stativ	NULL	 - 	 - 	 - 	 - 	2	0	2	0	0	 - 	 - 	200	185	590	13.200	0
AR844	 - 	Lichteffekte statisch	Verfolger Robert Juliat Cyrano inkl. Stativ	Verfolger Robert Juliat Cyrano inkl. Stativ	 - 	400	 - 	Verfolger Robert Juliat Cyrano inkl. Stativ	Verfolger Robert Juliat Cyrano inkl. Stativ	NULL	 - 	 - 	 - 	 - 	2	0	2	0	0	 - 	 - 	550	550	1655	65.000	0
AR874	 - 	Lichteffekte statisch	Chauvet COLORADO 1 QUAD	 COLORado 1 Quad LED Scheinwerfer (5pol DMX) Lichtquelle: 14 LEDs (vierfarbig RGBW) 5 W, (350 mA), 50.000 Stunden Lebensdauer. Farbtemperatur (Bereich): 2800 bis 10.000 K Abstrahlwinkel: 13°. Feldwinkel: 26°. Lumen: 1.633 	0.0	20	0.0	Chauvet COLORADO 1 QUAD	 COLORado 1 Quad LED Scheinwerfer (5pol DMX) Lichtquelle: 14 LEDs (vierfarbig RGBW) 5 W, (350 mA), 50.000 Stunden Lebensdauer. Farbtemperatur (Bereich): 2800 bis 10.000 K Abstrahlwinkel: 13°. Feldwinkel: 26°. Lumen: 1.633 	NULL	0.0	0.0	0.0	 - 	24	0	24	0	0	8.75	 - 	304	246	202	4.500	0
